"text", "translation"
"スキルPtボーナスと初期賢さアップ","Skill Pt bonus and initial Wisdom increase"
"やる気効果アップと初期絆ゲージアップ","Motivation bonus and initial Bond gauge increase"
"友情ボーナスとレースボーナス","Friendship and Race bonus"
"やる気効果アップとレースボーナス","Motivation and Race bonus"
"友情ボーナスと初期パワーアップ","Friendship bonus and initial Power increase"
"トレーニング効果アップとヒント発生率アップ","Training bonus and Hint appearance rate up"
"友情ボーナスと得意率アップ","Friendship bonus and Specialty rate up"
"トレーニング効果アップと得意率アップ","Training bonus and Specialty rate up"
"友情ボーナスとヒント発生率アップ","Friendship bonus and Hint appearance rate up"
"根性ボーナスと初期根性アップ","Guts bonus and initial Guts increase"
"スキルPtボーナスとヒント発生率アップ","Skill Pt bonus and Hint appearance rate up"
"やる気効果アップと得意率アップ","Motivation bonus and Specialty rate up"
"やる気効果アップと初期賢さアップ","Motivation bonus and initial Wisdom increase"
"友情ボーナスと初期絆ゲージアップ","Friendship bonus and initial Bond gauge increase"
"トレーニング効果アップと初期賢さアップ","Training bonus and initial Wisdom increase"
"やる気効果アップと初期根性アップ","Motivation bonus and initial Guts increase"
"スピードボーナスと初期スピードアップ","Speed bonus and initial Speed increase"
"失敗率ダウンと体力消費ダウン","Fail rate and Energy consumption lowered"
"賢さボーナスと得意率アップ","Wisdom bonus and Specialty rate up"
"友情ボーナスと初期スタミナアップ","Friendship bonus and initial Stamina increase"
"友情ボーナスとスタミナボーナス","Friendship and Stamina bonus"
"やる気効果アップとヒント発生率アップ","Motivation bonus and Hint appearance rate up"
"パワーボーナスと初期絆ゲージアップ","Power bonus and initial Bond gauge increase"
"トレーニング効果アップと初期スピードアップ","Training bonus and initial Speed increase"
"友情ボーナスと初期スピードアップ","Friendship bonus and initial Speed increase"
"トレーニング効果アップと初期絆ゲージアップ","Training bonus and initial Bond gauge increase"
"トレーニング効果アップと初期スタミナアップ","Training bonus and initial Stamina increase"
"トレーニング効果アップと初期根性アップ","Training bonus and initial Guts increase"
"パワーボーナスと初期パワーアップ","Power bonus and initial Power increase"
"スタミナボーナスと初期スタミナアップ","Stamina bonus and initial Stamina increase"
"トレーニング効果アップとレースボーナス","Training bonus and Race bonus"
"友情ボーナスと初期根性アップ","Friendship bonus and initial Guts increase"
"スタミナボーナスとトレーニング効果アップ","Stamina and Training bonus"
"友情ボーナスと根性ボーナス","Friendship and Guts bonus"
"友情ボーナスとスピードボーナス","Friendship and Speed bonus"
"やる気効果アップとスタミナボーナス","Motivation and Stamina bonus"
"トレーニング効果アップと初期パワーアップ","Training bonus and initial Power increase"
"パワーボーナスとスキルPtボーナス","Power and Skill Pt bonus"
"賢さボーナスとレースボーナス","Wisdom and Race bonus"
"スピードボーナスと初期賢さアップ","Speed bonus and initial Wisdom increase"
"パワーボーナスとヒント発生率アップ","Power bonus and Hint appearance rate up"
"スタミナボーナスとヒント発生率アップ","Stamina bonus and Hint appearance rate up"
"根性ボーナスとレースボーナス","Guts and Race bonus"
"賢さボーナスと初期絆ゲージアップ","Wisdom bonus and initial Bond gauge increase"
"友情ボーナスとトレーニング効果アップ","Friendship bonus and Training bonus"
"スピードボーナスと得意率アップ","Speed bonus and Specialty rate up"
